City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
486,Kalaleh,IR,75.24,clear sky,37.3807,55.4916,عطر و ادکلن پارسیس
488,Kharan,PK,82.87,broken clouds,28.5833,65.4167,Dil Aram Bangla
492,Ahuimanu,US,85.14,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
494,Huron,US,81.86,scattered clouds,41.1501,-82.5499,Meadow Brook Mobile Estates
495,Pangai,TO,82.51,few clouds,-19.8,-174.35,Ha'apai Beach Resort
497,Havelock,US,81.01,scattered clouds,34.8791,-76.9013,Sherwood Motel
502,Popondetta,PG,83.37,clear sky,-8.7537,148.2534,Timos Transit House
504,Kutum,SD,78.28,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
508,Mazagao,BR,82.45,few clouds,-0.115,-51.2894,Recanto dos Ferreiras
512,Zaragoza,ES,81.86,few clouds,41.6561,-0.8773,INNSiDE Zaragoza
518,Isabela,PH,77.05,moderate rain,6.7085,121.9711,Isawad Resort
520,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
525,Maragogi,BR,76.24,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
526,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Pousada Camboinha
527,Jashpurnagar,IN,79.21,broken clouds,22.9,84.15,Sagar Restaurant
533,Rincon,US,88.86,scattered clouds,32.296,-81.2354,Days Inn Rincon
537,Goalpara,IN,75.67,heavy intensity rain,26.1667,90.6167,Hotel Moon Moon
538,Galle,LK,80.02,overcast clouds,6.0367,80.217,Amangalla
543,Bandarbeyla,SO,79.32,overcast clouds,9.4942,50.8122,JABIR HOTEL
547,Lazaro Cardenas,MX,86.0,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
548,Matara,LK,78.31,heavy intensity rain,5.9485,80.5353,Amaloh Boutique Resort
549,Anloga,GH,79.3,scattered clouds,5.7947,0.8973,Pin Drop Hotel
552,San Julian,MX,85.62,few clouds,21.0167,-102.1667,La Nueva España
554,Kirakira,SB,84.16,scattered clouds,-10.4544,161.9205,SanBiz Lodge
555,La Mana,EC,76.66,overcast clouds,-0.9333,-79.2167,Hotel Somagg
557,Dingle,PH,80.33,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
565,Miajadas,ES,83.41,clear sky,39.1513,-5.9084,Hotel Triana
566,Denia,ES,77.79,clear sky,38.8408,0.1057,Hotel Port Dénia
567,Washim,IN,82.22,broken clouds,20.1,77.15,Hotel Maniprabha
569,Saint Anthony,US,81.03,scattered clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
573,Salou,ES,78.04,clear sky,41.0766,1.1416,Hotel Santa Monica Playa
577,Dwarka,IN,84.36,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
583,Bintulu,MY,75.61,scattered clouds,3.1667,113.0333,900 Boutique INN
584,Sur,OM,81.82,clear sky,22.5667,59.5289,Sur Plaza Hotel
585,Larap,PH,80.13,overcast clouds,14.299,122.6504,Montemayor Cove
587,Pathein,MM,78.35,overcast clouds,16.7833,94.7333,Pathein Hotel
589,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Tanna Lodge
590,Davila,PH,78.78,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
592,Trincomalee,LK,81.1,overcast clouds,8.5711,81.2335,Welcombe Hotel
596,Teknaf,BD,79.45,broken clouds,20.8624,92.3058,Forestry Guesthouse
599,Laguna,US,85.75,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
604,Mombasa,KE,75.61,few clouds,-4.0547,39.6636,New Palm Tree Hotel
608,Sola,VU,80.37,scattered clouds,-13.8833,167.55,Leumerus Bungalows
611,Marsh Harbour,BS,82.45,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
612,Olinda,BR,78.53,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
