City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
151,Ponta Do Sol,PT,32.6667,-17.1,70.72,82,5,1.01,clear sky
152,Campbell River,CA,50.0163,-125.2446,68.59,45,75,11.5,broken clouds
153,Provideniya,RU,64.3833,-173.3,40.32,63,92,1.83,overcast clouds
154,Asau,RO,46.4333,26.4,63.52,93,61,5.57,broken clouds
155,Komsomolskiy,UZ,40.4272,71.7189,70.52,52,42,4.61,scattered clouds
156,Dunedin,NZ,-45.8742,170.5036,47.8,54,36,13.0,scattered clouds
157,Hermanus,ZA,-34.4187,19.2345,65.8,76,100,20.13,light rain
158,Kaka,TM,37.3482,59.6143,76.14,44,0,3.67,clear sky
159,Visnes,NO,59.3556,5.2242,51.85,82,75,14.97,broken clouds
160,Tual,ID,-5.6667,132.75,83.12,74,100,11.1,light rain
161,Thompson,CA,55.7435,-97.8558,75.36,31,75,6.91,broken clouds
162,Mangrol,IN,21.1167,70.1167,81.97,79,52,5.35,broken clouds
163,Maarianhamina,AX,60.0973,19.9348,57.06,82,0,5.75,clear sky
164,Lasa,IT,46.6166,10.7002,65.28,61,1,2.91,clear sky
165,Santiago De Chuco,PE,-8.15,-78.1833,52.5,69,69,2.1,broken clouds
166,Minsk,BY,53.9,27.5667,58.75,93,35,8.12,scattered clouds
167,Carutapera,BR,-1.195,-46.02,75.96,86,63,5.86,broken clouds
168,San Lawrenz,MT,36.0553,14.204,71.01,85,0,3.0,clear sky
169,Hobart,AU,-42.8794,147.3294,45.05,82,66,5.64,broken clouds
170,Misratah,LY,32.3754,15.0925,72.18,80,0,12.62,clear sky
171,Villa Bruzual,VE,9.3328,-69.1208,71.65,98,100,3.36,overcast clouds
172,Ixtapa,MX,20.7,-105.2,87.22,70,20,11.5,few clouds
173,George Town,MY,5.4112,100.3354,76.95,99,20,2.3,few clouds
174,Clyde River,CA,70.4692,-68.5914,37.63,65,100,8.05,overcast clouds
175,Rapina,EE,58.0981,27.4636,56.52,78,98,5.41,overcast clouds
176,Praia Da Vitoria,PT,38.7333,-27.0667,62.76,94,40,22.01,scattered clouds
177,Korla,CN,41.7597,86.1469,80.31,14,8,8.86,clear sky
178,Demirci,TR,39.0461,28.6589,56.7,93,66,4.7,broken clouds
179,Graham,US,47.0529,-122.2943,56.7,82,100,6.91,overcast clouds
180,Kodiak,US,57.79,-152.4072,62.11,59,0,5.75,smoke
181,Cassilandia,BR,-19.1133,-51.7342,56.14,34,99,3.62,overcast clouds
182,Swift Current,CA,50.2834,-107.8014,74.21,38,20,3.44,few clouds
183,Tomatlan,MX,19.9333,-105.25,90.21,51,12,10.98,few clouds
184,Lebu,CL,-37.6167,-73.65,48.78,90,100,9.08,overcast clouds
185,Kisiwani,TZ,-4.1333,37.95,64.71,89,80,2.64,broken clouds
186,Birao,CF,10.2849,22.7882,74.52,81,100,4.88,overcast clouds
187,Shepsi,RU,44.0361,39.1489,71.65,79,100,6.44,overcast clouds
188,Airai,TL,-8.9266,125.4092,58.12,79,94,3.09,overcast clouds
189,Tiksi,RU,71.6872,128.8694,43.05,72,41,4.52,scattered clouds
190,Iqaluit,CA,63.7506,-68.5145,42.53,65,100,17.27,overcast clouds
191,Mont-De-Marsan,FR,44.0,-0.6667,67.82,83,78,5.75,broken clouds
192,Kushima,JP,31.4583,131.2333,69.67,92,100,7.85,overcast clouds
193,Kholmogory,RU,64.2229,41.656,55.85,65,100,6.89,light rain
194,Arraial Do Cabo,BR,-22.9661,-42.0278,67.86,68,75,13.8,broken clouds
195,Abha,SA,18.2164,42.5053,69.62,46,0,0.0,clear sky
196,Mataram,ID,-8.5833,116.1167,74.21,86,97,5.77,overcast clouds
197,Estelle,US,29.8458,-90.1067,90.0,68,75,8.05,broken clouds
198,Pevek,RU,69.7008,170.3133,38.28,66,68,7.23,broken clouds
199,East London,ZA,-33.0153,27.9116,75.9,29,100,11.59,overcast clouds
200,Mambolo,SL,8.9231,-13.0444,80.89,91,100,4.12,moderate rain
201,Mount Gambier,AU,-37.8333,140.7667,52.27,76,96,1.3,overcast clouds
202,Castro,BR,-24.7911,-50.0119,40.28,69,0,2.82,clear sky
203,Naze,JP,28.3667,129.4833,70.72,91,100,22.06,light rain
204,Klaksvik,FO,62.2266,-6.589,49.12,96,95,14.99,overcast clouds
205,Skjervoy,NO,70.0311,20.9714,44.6,80,96,5.95,overcast clouds
206,Karratha,AU,-20.7377,116.8463,72.36,62,41,9.26,scattered clouds
207,Russell,US,32.3502,-85.1999,92.8,52,0,5.75,clear sky
208,Port Elizabeth,ZA,-33.918,25.5701,71.1,33,0,8.05,clear sky
209,Brigantine,US,39.4101,-74.3646,76.03,82,0,8.05,clear sky
210,Sinor,IN,21.9167,73.3333,82.78,74,74,7.72,broken clouds
211,Latung,PH,5.5,120.8833,83.14,70,100,1.61,overcast clouds
212,Kavaratti,IN,10.5669,72.642,82.92,71,100,20.02,moderate rain
213,Amet,IN,25.3,73.9333,81.25,63,77,5.21,broken clouds
214,Ancud,CL,-41.8697,-73.8203,50.23,84,100,12.26,light rain
215,Kamenka,RU,51.3223,42.7678,55.98,73,1,8.19,clear sky
216,Kalmar,SE,56.6616,16.3616,56.97,91,3,3.0,clear sky
217,Dakar,SN,14.6937,-17.4441,82.53,65,75,4.61,broken clouds
218,Rognan,NO,67.0953,15.3878,52.05,87,100,0.22,light rain
219,Cidreira,BR,-30.1811,-50.2056,53.15,65,96,15.95,overcast clouds
220,Visby,SE,57.6409,18.296,56.82,93,63,6.91,broken clouds
221,Cabo San Lucas,MX,22.8909,-109.9124,92.5,35,20,17.27,few clouds
222,San Policarpo,PH,12.1791,125.5072,82.29,78,84,5.53,broken clouds
223,Smithfield,US,41.922,-71.5495,72.55,78,100,4.61,overcast clouds
224,Hunchun,CN,42.8675,130.3581,57.16,96,100,3.94,overcast clouds
225,Biltine,TD,14.5333,20.9167,82.89,46,100,21.23,overcast clouds
226,Chapais,CA,49.7834,-74.8492,56.98,95,98,7.25,overcast clouds
227,San Patricio,US,28.017,-97.5169,100.54,48,51,20.36,broken clouds
228,Ughelli,NG,5.4899,6.0074,74.8,96,100,4.79,overcast clouds
229,Kemijarvi,FI,66.7131,27.4306,52.05,87,100,3.44,overcast clouds
230,Maputo,MZ,-25.9653,32.5892,63.23,73,0,8.05,clear sky
